"helys","hossz","szel","long","lat"
"Balatonlelle","17:42.10","46:46.92",17.7016666666667,46.782
"Balatonmagyaród","17:10.66","46:35.71",17.1776666666667,46.5951666666667
"Balatonmáriafürdõ","17:24.24","46:42.19",17.404,46.7031666666667
"Balatonõszöd","17:48.06","46:48.47",17.801,46.8078333333333
"Balatonrendes","17:34.96","46:49.65",17.5826666666667,46.8275
"Balatonszabadi","18:07.99","46:53.49",18.1331666666667,46.8915
"Balatonszárszó","17:50.11","46:49.76",17.8351666666667,46.8293333333333
"Balatonszemes","17:46.57","46:48.50",17.7761666666667,46.8083333333333
"Balatonszentgyörgy","17:18.12","46:41.46",17.302,46.691
"Balatonszepezd","17:39.78","46:51.26",17.663,46.8543333333333
"Balatonszõlõs","17:49.63","46:57.96",17.8271666666667,46.966
"Balatonudvari","17:48.15","46:54.08",17.8025,46.9013333333333
"Balatonújlak","17:23.17","46:40.45",17.3861666666667,46.6741666666667
"Balatonvilágos","18:09.98","46:58.48",18.1663333333333,46.9746666666667
"Balinka","18:11.54","47:18.79",18.1923333333333,47.3131666666667
"Balkány","21:51.49","47:46.20",21.8581666666667,47.77
"Ballószög","19:24.50","47:02.05",19.4083333333333,47.0341666666667
"Balmazújváros","21:20.58","47:36.86",21.343,47.6143333333333
"Balogunyom","16:39.02","47:09.54",16.6503333333333,47.159
"Balotaszállás","19:32.51","46:21.10",19.5418333333333,46.3516666666667
"Balsa","21:31.90","48:10.44",21.5316666666667,48.174
"Bálványos","17:57.19","46:46.86",17.9531666666667,46.781
"Bana","17:55.19","47:38.96",17.9198333333333,47.6493333333333
"Bánd","17:47.16","47:07.30",17.786,47.1216666666667
"Bánfa","17:52.90","45:59.63",17.8816666666667,45.9938333333333
"Bánhorváti","20:30.19","48:13.73",20.5031666666667,48.2288333333333
"Bánk","19:10.55","47:55.42",19.1758333333333,47.9236666666667
"Bánokszentgyörgy","16:47.06","46:32.94",16.7843333333333,46.549
"Bánréve","20:21.35","48:17.93",20.3558333333333,48.2988333333333
"Bár","18:42.99","46:03.15",18.7165,46.0525
"Barabás","22:25.72","48:13.87",22.4286666666667,48.2311666666667
"Baracs","18:52.08","46:54.84",18.868,46.914
